,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,lon,lat
1,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2, 	PH15 2EB,-3.8505195,56.6250786
2,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2, 	AB38 9PJ,-3.2299732,57.4672748
3,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2, 	AB5 5LI,-4.2026458,56.4906712
4,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0, 	PA42 7EB,-6.1091102,55.6401819
5,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1, 	AB54 4NH,-2.7438753,57.3504388
6,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2, KA27 8HJ,-5.2796394,55.6994852
7,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3, G81 4SJ,-4.4396552,55.9223129
8,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1, 	AB55 3XS,-3.0305518,57.4943025
9,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2, 	AB55 3QY,-3.0305518,57.4943025
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1, 	IV19 1LB,-4.1781118,57.842603
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2, 	PH26 3PF,-3.5338999,57.3255897
12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2, 	AB55 4DH,-3.1237258,57.4527074
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2, 	PH33 6TJ,-5.0737676,56.8348178
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2, 	IV30 8SJ,-3.2830187,57.6087557
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2, 	AB38 9NN,-3.2380678,57.4433714
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2, 	IV36 3EB,-3.6200264,57.6136079
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3, 	DG8 9AB,-4.4591922,54.8580888
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2, 	PH16 5LY,-3.7185917,56.6976764
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2, 	PA43 7GS,-6.2761289,55.7368026
20,Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2, PA49 7UN,-6.3596753,55.7683993
21,Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3, PA46 7RR,-6.1239492,55.8823662
22,Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1, 	PA46 7RL,-6.1096329,55.8547322
23,Cardhu,1,3,1,0,0,1,1,0,2,2,2,2, 	AB38 7RY,-3.3560965,57.4703563
24,Clynelish,3,2,3,3,1,0,2,0,1,1,2,0, 	KW9 6LB,-3.9346091,58.048908
25,Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4, AB38 9ST,-3.1907152,57.4879181
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2, AB37 9AB,-3.3878384,57.4117157
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1, 	AB38 7RE,-3.2765173,57.4527978
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1, 	IV17 0UT,-4.2394812,57.6884285
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2, 	PH19 1AB,-4.2450439,56.9359259
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1, FK16 6AG,-4.0714145,56.1893076
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2, AB55 4BR,-3.1286208,57.437958
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2, PH16 5JP,-3.7010098,56.7014579
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1, AB4 3JT,-4.2026458,56.4906712
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3, IV30 3SL,-3.3553886,57.6221315
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2, AB51 0ES,-2.3171916,57.3383415
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1, AB38 7BS,-3.2107862,57.530335
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1, AB55 3BU,-3.0305518,57.4943025
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4, IV30 1YE,-3.3451086,57.6435046
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2, IV6 7UJ,-4.4782121,57.522176
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1, PA28 6DS,-5.6039947,55.4296854
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2, AB38 7AU,-3.2078006,57.5264109
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2, AB38 9LR,-3.2275229,57.4558538
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0, AB54 6DA,-2.6491427,57.4928294
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2, AB55 4DJ,-3.1183793,57.447895
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2, AB37 9BD,-3.3183448,57.4267731
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2, AB55 4DH,-3.1237258,57.4527074
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2, G63 9LB,-4.3630397,56.0149414
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2, EH34 5ET,-2.891258,55.8899885
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3, AB37 9DB,-3.3387153,57.3433423
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2, IV30 3SS,-3.3553886,57.6221315
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2, IV19 1PZ,-4.0770306,57.8234633
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0, AB38 7AA,-3.2100852,57.5268202
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2, PH7 4HA,-3.854267,56.3907727
54,Highland Park,2,2,3,1,0,2,1,1,1,2,1,1, KW15 1SU,-2.9524375,58.9668649
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2, AB56 5AB,-2.963885,57.6618159
56,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1, PA60 7XT,-5.9517371,55.8329064
57,Knochando,2,3,1,0,0,2,2,1,2,1,2,2, AB38 7RT,-3.3441723,57.4571253
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0, PA42 7DZ,-6.1262054,55.6355151
59,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0, PA42 7DU,-6.1535692,55.6298235
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2, IV30 3RD,-3.3553886,57.6221315
61,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2, G83 0TL,-4.5768306,55.9935711
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3, IV30 3SJ,-3.3553886,57.6221315
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1, AB38 9RX,-3.2069551,57.4846465
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2, IV30 3SS,-3.3553886,57.6221315
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2, IV30 3TQ,-3.3553886,57.6221315
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2, AB55 4AQ,-3.1190737,57.4439003
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0, PA34 5NH,-5.4720655,56.4151446
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1, AB30 1YE,-2.4806773,56.8740141
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2, KW1 5BA,-3.0855308,58.4347385
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2, IV12 5QY,-3.9010053,57.5379611
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1, AB35 5TB,-3.2189446,57.0343854
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2, KW15 1SE,-2.9958018,58.9636556
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2, AB38 7AG,-3.2197441,57.5455203
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2, PH21 1NS,-4.0117575,57.0763696
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1, PA28 6EJ,-5.6014887,55.4287342
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2, AB55 3BS,-3.0305518,57.4943025
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2, AB55 5DQ,-2.9600042,57.5408727
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0, IV47 8SR,-6.3524212,57.3009613
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2, AB38 7RP,-3.3480609,57.45862
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3, AB37 9JA,-3.3112106,57.3189626
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2, IV17 0XB,-4.2605172,57.6916125
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2, PA75 6NR,-6.0698,56.6207342
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1, IV13 7YT,-4.0103835,57.3414642
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2, AB37 9AQ,-3.4121214,57.3124888
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0, PH26 3LR,-3.4133732,57.3969678
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1, PH4 1QG,-3.7825575,56.259157
